Time;PRESSAO SUPRIME (psi);Is_Maximum_Peak;Is_Minimum_Peak;tempo parcial amarelo;;;
17:12:54;139;False;False;;;;
17:13:21;137;False;False;;;;
17:14:44;135;False;False;;;;
17:15:09;133;False;True;;;;
17:15:34;137;False;False;;;;
17:15:37;138;False;False;;;;
17:15:48;142;False;False;00:01:38;;;
17:16:47;144;True;False;;;;
17:17:22;139;False;False;;;;
17:17:25;138;False;False;;;;
17:18:58;134;False;False;;;;
17:18:59;133;False;False;;;;
17:19:09;130;False;True;;;;
17:19:25;134;False;False;;;;
17:19:37;138;False;False;;;;
17:19:38;138;False;False;00:00:40;;;
17:19:49;143;True;False;;;;
17:21:14;142;False;False;;;;
17:21:25;139;False;False;;;;
17:21:42;137;False;False;;;;
17:22:27;134;False;False;;;;
17:23:20;131;False;False;;;;
17:23:23;130;False;True;;;;
17:23:39;133;False;False;;;;
17:23:50;137;False;False;;;;
17:24:02;142;False;False;00:00:40;;;
17:24:03;142;True;False;;;;
17:25:26;142;False;False;;;;
17:25:45;139;False;False;;;;
17:26:20;136;False;False;;;;
17:26:36;134;False;False;;;;
17:28:01;131;False;False;;;;
17:28:04;130;False;True;;;;
17:28:18;134;False;False;;;;
17:28:30;138;False;False;;;;
17:28:32;139;False;False;00:00:37;;;
17:28:41;143;True;False;;;;
17:29:52;143;False;False;;;;
17:30:09;139;False;False;;;;
17:30:22;137;False;False;;;;
17:30:54;134;False;False;;;;
17:31:40;131;False;False;;;;
17:31:42;130;False;True;;;;
17:32:00;133;False;False;;;;
17:32:12;138;False;False;00:00:42;;;
17:32:24;142;True;False;;;;
17:32:24;142;False;False;;;;
17:33:51;140;False;False;;;;
17:33:54;139;False;False;;;;
17:34:47;135;False;True;;;;
17:34:48;135;False;False;;;;
17:35:08;138;False;False;;;;
17:35:21;143;False;False;00:01:02;;;
17:35:49;145;True;False;;;;
17:36:12;143;False;False;;;;
17:37:39;139;False;False;;;;
17:38:28;135;False;False;;;;
17:38:29;134;False;True;;;;
17:39:03;137;False;False;;;;
17:39:09;138;False;False;00:00:51;;;
17:39:20;142;True;False;;;;
17:40:38;142;False;False;;;;
17:40:51;139;False;False;;;;
17:41:05;137;False;False;;;;
17:42:05;134;False;False;;;;
17:42:07;133;False;True;;;;
17:42:34;138;False;False;;;;
17:42:34;138;False;False;;;;
17:42:46;143;False;False;00:01:43;;;
17:43:50;145;True;False;;;;
17:44:09;139;False;False;;;;
17:44:20;134;False;True;;;;
17:44:33;135;False;False;;;;
17:44:44;137;False;False;;;;
17:44:52;142;False;False;00:01:28;;;
17:45:48;145;True;False;;;;
17:46:08;139;False;False;;;;
17:46:28;134;False;True;;;;
17:46:30;134;False;False;;;;
17:46:46;138;False;False;00:00:25;;;
17:46:53;143;True;False;;;;
;;;;;;;
17:47:47;139;False;True;;;;
17:47:48;139;False;False;;;;
17:48:30;142;False;False;;;;
17:48:36;144;False;False;00:02:06;;;
17:49:53;145;True;False;;;;
17:50:40;140;False;False;;;;
17:50:44;139;False;False;;;;
17:51:39;136;False;False;;;;
17:51:42;134;False;True;;;;
17:52:09;138;False;False;00:00:45;;;
17:52:27;143;True;False;;;;
17:52:27;143;False;False;;;;
17:54:08;139;False;False;;;;
17:54:09;138;False;False;;;;
17:54:26;135;False;False;;;;
17:54:56;133;False;False;;;;
17:56:25;130;False;False;;;;
17:56:27;128;False;True;;;;
17:56:49;134;False;False;;;;
17:57:04;137;False;False;;;;
17:57:05;138;False;False;00:00:50;;;
17:57:17;142;True;False;;;;
17:58:26;141;False;False;;;;
17:58:32;139;False;False;;;;
17:59:04;136;False;False;;;;
17:59:11;135;False;False;;;;
18:00:24;130;False;True;;;;
18:00:25;130;False;False;;;;
18:00:38;133;False;False;;;;
18:00:52;138;False;False;;;;
18:01:04;143;False;False;00:00:43;;;
18:01:07;144;True;False;;;;
18:03:01;142;False;False;;;;
18:03:13;139;False;False;;;;
18:03:54;136;False;False;;;;
18:04:58;135;False;False;;;;
18:05:13;130;False;False;;;;
18:05:14;129;False;True;;;;
18:05:32;134;False;False;;;;
18:05:33;134;False;False;;;;
18:05:42;138;False;False;;;;
18:05:53;142;False;False;00:01:10;;;
18:06:24;145;True;False;;;;
18:07:12;139;False;False;;;;
18:07:16;138;False;False;;;;
18:08:43;135;False;False;;;;
18:08:45;134;False;False;;;;
18:09:01;130;False;True;;;;
18:09:16;134;False;False;;;;
18:09:24;137;False;False;;;;
18:09:28;139;False;False;00:00:37;;;
18:09:38;143;True;False;;;;
18:11:11;141;False;False;;;;
18:11:18;139;False;False;;;;
18:11:37;135;False;False;;;;
18:11:37;135;False;False;;;;
18:12:49;131;False;False;;;;
18:12:50;130;False;True;;;;
18:13:13;133;False;False;;;;
18:13:13;133;False;False;;;;
18:13:24;138;False;False;;;;
18:13:35;142;False;False;;;;
18:14:35;143;True;False;00:01:45;;;
18:14:55;139;False;False;;;;
18:14:59;138;False;False;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;tempo sem incluir os true;00:17:42
